           x         y
0  -5.000000  0.042441
1  -4.743590  0.043652
2  -4.487179  0.042066
3  -4.230769  0.037643
4  -3.974359  0.030350
5  -3.717949  0.020214
6  -3.461538  0.007353
7  -3.205128 -0.008007
8  -2.948718 -0.025529
9  -2.692308 -0.044771
10 -2.435897 -0.065196
11 -2.179487 -0.086202
12 -1.923077 -0.107135
13 -1.666667 -0.127324
14 -1.410256 -0.146106
15 -1.153846 -0.162853
16 -0.897436 -0.176997
17 -0.641026 -0.188055
18 -0.384615 -0.195646
19 -0.128205 -0.199509
20  0.128205 -0.199509
21  0.384615 -0.195646
22  0.641026 -0.188055
23  0.897436 -0.176997
24  1.153846 -0.162853
25  1.410256 -0.146106
26  1.666667 -0.127324
27  1.923077 -0.107135
28  2.179487 -0.086202
29  2.435897 -0.065196
30  2.692308 -0.044771
31  2.948718 -0.025529
32  3.205128 -0.008007
33  3.461538  0.007353
34  3.717949  0.020214
35  3.974359  0.030350
36  4.230769  0.037643
37  4.487179  0.042066
38  4.743590  0.043652
39  5.000000  0.042441
